iter	Passed	Remaining
1377	7265	3279
1378	7272	3274
1379	7276	3269
1380	7281	3263
1381	7286	3258
1382	7291	3253
1383	7295	3247
1384	7301	3242
1385	7306	3236
1386	7311	3231
1387	7316	3226
1388	7321	3220
1389	7325	3214
1390	7331	3209
1391	7338	3205
1392	7344	3200
1393	7352	3196
1394	7357	3190
1395	7362	3185
1396	7368	3180
1397	7373	3175
1398	7377	3169
1399	7383	3164
1400	7388	3158
1401	7392	3153
1402	7397	3147
1403	7403	3142
1404	7408	3137
1405	7411	3131
1406	7416	3125
1407	7420	3120
1408	7425	3114
1409	7431	3109
1410	7435	3103
1411	7440	3098
1412	7446	3093
1413	7451	3087
1414	7456	3082
1415	7461	3077
1416	7466	3072
1417	7470	3066
1418	7476	3061
1419	7482	3056
1420	7486	3050
1421	7490	3044
1422	7497	3039
1423	7501	3034
1424	7504	3028
1425	7509	3022
1426	7514	3017
1427	7518	3011
1428	7523	3006
1429	7527	3000
1430	7532	2994
1431	7536	2989
1432	7542	2984
1433	7547	2978
1434	7552	2973
1435	7557	2968
1436	7563	2963
1437	7567	2957
1438	7571	2951
1439	7577	2946
1440	7582	2941
1441	7586	2935
1442	7593	2931
1443	7599	2926
1444	7606	2921
1445	7610	2915
1446	7615	2910
1447	7620	2905
1448	7624	2899
1449	7629	2893
1450	7633	2888
1451	7638	2883
1452	7643	2877
1453	7648	2872
1454	7653	2866
1455	7659	2861
1456	7664	2856
1457	7669	2851
1458	7676	2846
1459	7680	2840
1460	7685	2835
1461	7690	2829
1462	7694	2824
1463	7699	2818
1464	7704	2813
1465	7709	2808
1466	7714	2802
1467	7719	2797
1468	7725	2792
1469	7730	2787
1470	7737	2782
1471	7742	2777
1472	7747	2771
1473	7753	2766
1474	7757	2761
1475	7761	2755
1476	7766	2750
1477	7771	2744
1478	7775	2739
1479	7781	2734
1480	7787	2729
1481	7792	2723
1482	7797	2718
1483	7803	2713
1484	7808	2707
1485	7814	2702
1486	7819	2697
1487	7824	2692
1488	7829	2687
1489	7836	2682
1490	7841	2676
1491	7845	2671
1492	7851	2666
1493	7856	2660
1494	7862	2655
1495	7868	2650
1496	7873	2645
1497	7878	2640
1498	7883	2634
1499	7888	2629
1500	7892	2623
1501	7897	2618
1502	7902	2613
1503	7907	2607
1504	7913	2602
1505	7917	2597
1506	7922	2591
1507	7927	2586
1508	7933	2581
1509	7937	2575
1510	7942	2570
1511	7947	2565
1512	7951	2559
1513	7956	2554
1514	7962	2548
1515	7966	2543
1516	7971	2537
1517	7976	2532
1518	7979	2526
1519	7984	2521
1520	7990	2516
1521	7996	2511
1522	8000	2505
1523	8005	2500
1524	8009	2494
1525	8014	2489
1526	8018	2483
1527	8023	2478
1528	8027	2472
1529	8031	2467
1530	8037	2462
1531	8043	2457
1532	8047	2451
1533	8051	2446
1534	8056	2440
1535	8061	2435
1536	8065	2429
1537	8071	2424
1538	8076	2419
1539	8082	2414
1540	8086	2408
1541	8094	2404
1542	8101	2399
1543	8108	2394
1544	8114	2389
1545	8123	2385
1546	8128	2380
1547	8132	2374
1548	8138	2369
1549	8144	2364
1550	8148	2358
1551	8153	2353
1552	8159	2348
1553	8163	2342
1554	8168	2337
1555	8173	2332
1556	8178	2326
1557	8184	2321
1558	8190	2317
1559	8195	2311
1560	8200	2306
1561	8205	2300
1562	8210	2295
1563	8216	2290
1564	8222	2285
1565	8227	2280
1566	8233	2275
1567	8238	2269
1568	8244	2264
1569	8249	2259
1570	8254	2254
1571	8258	2248
1572	8264	2243
1573	8268	2237
1574	8273	2232
1575	8280	2227
1576	8286	2222
1577	8291	2217
1578	8297	2212
1579	8302	2207
1580	8309	2202
1581	8314	2196
1582	8319	2191
1583	8322	2185
1584	8328	2180
1585	8334	2175
1586	8338	2170
1587	8344	2164
1588	8350	2160
1589	8356	2154
1590	8361	2149
1591	8368	2144
1592	8375	2139
1593	8381	2134
1594	8386	2129
1595	8391	2124
1596	8397	2118
1597	8401	2113
1598	8405	2107
1599	8411	2102
1600	8415	2097
1601	8420	2091
1602	8425	2086
1603	8430	2081
1604	8434	2075
1605	8439	2070
1606	8444	2065
1607	8448	2059
1608	8452	2054
1609	8457	2048
1610	8462	2043
1611	8467	2038
1612	8471	2032
1613	8476	2027
1614	8480	2021
1615	8483	2015
1616	8489	2010
1617	8494	2005
1618	8498	1999
1619	8504	1994
1620	8509	1989
1621	8514	1984
1622	8520	1979
1623	8526	1974
1624	8530	1968
1625	8536	1963
1626	8542	1958
1627	8546	1952
1628	8551	1947
1629	8556	1942
1630	8560	1936
1631	8565	1931
1632	8569	1925
1633	8573	1920
1634	8578	1915
1635	8583	1909
1636	8589	1904
1637	8594	1899
1638	8600	1894
1639	8605	1889
1640	8609	1883
1641	8614	1878
1642	8621	1873
1643	8626	1868
1644	8633	1863
1645	8639	1857
1646	8643	1852
1647	8648	1847
1648	8653	1841
1649	8657	1836
1650	8662	1831
1651	8668	1826
1652	8672	1820
1653	8675	1814
1654	8680	1809
1655	8685	1804
1656	8690	1798
1657	8694	1793
1658	8700	1788
1659	8704	1782
1660	8710	1777
1661	8714	1772
1662	8718	1766
1663	8722	1761
1664	8725	1755
1665	8731	1750
1666	8736	1745
1667	8740	1739
1668	8744	1734
1669	8749	1728
1670	8753	1723
1671	8757	1717
1672	8761	1712
1673	8767	1707
1674	8771	1701
1675	8776	1696
